track,mouse_ID,mean_distance_fh_distance_nose_to_tail,mean_distance_sh_distance_nose_to_tail
bl6,2283,125.82685101251823,117.78374662934385
bl6,2284,132.36714707052946,116.9666273219353
bl6,2286,132.42506423213464,119.70041170719344
bl6,2287,116.95419150974912,112.47028741882005
bl6,2288,140.6003483189597,123.77999017831364
bl6,2289,124.68553716677599,108.87468384505651
bl6,2290,135.0385091068641,116.28429417960096
bl6,2291,127.86786687827761,107.75671807293016
bl6,2296,126.47850627886032,111.31455497724994
bl6,2301,130.78306067418376,116.55454013386347
bl6,2478,144.21840303411736,133.9812579008612
bl6,2479,148.3717981236907,127.08397215356507
bl6,2480,131.39253885201376,119.52413253070098
bl6,2481,168.72071713231634,156.2454732763697
bl6,2513,151.46814046846418,122.33097939288731
bl6,2514,134.73600361568242,117.07417778186904
bl6,2515,140.7978606947946,125.93920054186188
bl6,2537,139.83541360138784,126.7693033365123
bl6,2539,141.68646475360245,130.205730960257
bl6,2542,150.42780743349257,129.70109704032845
