cohort;trial_number;mouse_id;session;;;predicted with sleap;;export csv;frame nr.;comments
coh_6;1;2287;1;;;;;;1;
coh_6;2;2287;2;;;;;;1;
coh_6;3;2290;1;;;;;;1;
coh_6;4;2290;2;;;;;;1;
coh_6;5;2284;1;;;;;;1;
coh_6;6;2284;2;;;;;;1;
coh_6;7;2291;1;;;;;;1;
coh_6;8;2291;2;;;;;;1;
coh_6;9;2283;1;;;;;;1;
coh_6;10;2283;2;;;;;;1;
coh_6;11;2296;1;;;;;;1;
coh_6;12;2296;2;;;;;;1;
coh_6;13;2301;1;;;;;;1;
coh_6;14;2301;2;;;;;;1;
coh_6;15;2286;1;;;;;;1;
coh_6;16;2286;2;;;;;;1;
coh_6;17;2289;1;;;;;;1;~350 frames nicht erkannt wegen putzen
coh_6;18;2289;2;;;;;;1;
coh_6;19;2288;1;;;;;;1;
coh_6;20;2288;2;;;;;;1;
